"","score","asfeeling"
"512",99,"Strongly Favorable"
"513",95,"Strongly Favorable"
"514",100,"Strongly Favorable"
"515",91,"Strongly Favorable"
"516",50,"Unfavorable"
"517",100,"Strongly Favorable"
"518",100,"Strongly Favorable"
"519",50,"Unfavorable"
"520",76,"Strongly Favorable"
"521",75,"Lightly Favorable"
"522",22,"Strongly unfavorable"
"523",36,"Unfavorable"
"524",74,"Lightly Favorable"
"525",75,"Lightly Favorable"
"526",75,"Lightly Favorable"
"527",95,"Strongly Favorable"
"528",52,"Lightly Favorable"
"529",89,"Strongly Favorable"
"530",0,"Strongly unfavorable"
"531",41,"Unfavorable"
"532",85,"Strongly Favorable"
"533",80,"Strongly Favorable"
"534",92,"Strongly Favorable"
"535",50,"Unfavorable"
"536",95,"Strongly Favorable"
"537",100,"Strongly Favorable"
"538",50,"Unfavorable"
"539",58,"Lightly Favorable"
"540",70,"Lightly Favorable"
"541",50,"Unfavorable"
"542",100,"Strongly Favorable"
"543",100,"Strongly Favorable"
"544",59,"Lightly Favorable"
"545",91,"Strongly Favorable"
"546",83,"Strongly Favorable"
"547",97,"Strongly Favorable"
"548",99,"Strongly Favorable"
"549",81,"Strongly Favorable"
"550",100,"Strongly Favorable"
"551",81,"Strongly Favorable"
"552",88,"Strongly Favorable"
"553",53,"Lightly Favorable"
"554",25,"Strongly unfavorable"
"555",81,"Strongly Favorable"
"556",75,"Lightly Favorable"
"557",79,"Strongly Favorable"
"558",75,"Lightly Favorable"
"559",50,"Unfavorable"
"560",70,"Lightly Favorable"
"561",65,"Lightly Favorable"
"562",75,"Lightly Favorable"
"563",50,"Unfavorable"
"564",51,"Lightly Favorable"
"565",51,"Lightly Favorable"
"566",74,"Lightly Favorable"
"567",45,"Unfavorable"
"568",86,"Strongly Favorable"
"569",81,"Strongly Favorable"
"570",70,"Lightly Favorable"
"571",56,"Lightly Favorable"
"572",85,"Strongly Favorable"
"573",91,"Strongly Favorable"
"574",61,"Lightly Favorable"
"575",61,"Lightly Favorable"
"576",100,"Strongly Favorable"
"577",90,"Strongly Favorable"
"578",50,"Unfavorable"
"579",52,"Lightly Favorable"
"580",24,"Strongly unfavorable"
"581",50,"Unfavorable"
"582",60,"Lightly Favorable"
"583",50,"Unfavorable"
"584",50,"Unfavorable"
"585",97,"Strongly Favorable"
"586",51,"Lightly Favorable"
"587",75,"Lightly Favorable"
"588",73,"Lightly Favorable"
"589",81,"Strongly Favorable"
"590",80,"Strongly Favorable"
"591",51,"Lightly Favorable"
"592",99,"Strongly Favorable"
"593",51,"Lightly Favorable"
"594",68,"Lightly Favorable"
"595",75,"Lightly Favorable"
"596",85,"Strongly Favorable"
"597",75,"Lightly Favorable"
"598",9,"Strongly unfavorable"
"599",81,"Strongly Favorable"
"600",80,"Strongly Favorable"
"601",50,"Unfavorable"
"602",76,"Strongly Favorable"
"603",71,"Lightly Favorable"
"604",50,"Unfavorable"
"605",60,"Lightly Favorable"
"606",75,"Lightly Favorable"
"607",80,"Strongly Favorable"
"608",66,"Lightly Favorable"
"609",90,"Strongly Favorable"
"610",96,"Strongly Favorable"
"611",90,"Strongly Favorable"
"612",90,"Strongly Favorable"
"613",100,"Strongly Favorable"
"614",100,"Strongly Favorable"
"615",60,"Lightly Favorable"
"616",84,"Strongly Favorable"
"617",100,"Strongly Favorable"
"618",69,"Lightly Favorable"
"619",98,"Strongly Favorable"
"620",85,"Strongly Favorable"
"621",100,"Strongly Favorable"
"622",0,"Strongly unfavorable"
"623",94,"Strongly Favorable"
"624",89,"Strongly Favorable"
"625",89,"Strongly Favorable"
"626",75,"Lightly Favorable"
"627",86,"Strongly Favorable"
"628",50,"Unfavorable"
"629",61,"Lightly Favorable"
"630",90,"Strongly Favorable"
"631",100,"Strongly Favorable"
"632",10,"Strongly unfavorable"
"633",89,"Strongly Favorable"
"634",71,"Lightly Favorable"
"635",90,"Strongly Favorable"
"636",91,"Strongly Favorable"
"637",81,"Strongly Favorable"
"638",95,"Strongly Favorable"
"639",85,"Strongly Favorable"
"640",94,"Strongly Favorable"
"641",38,"Unfavorable"
"642",88,"Strongly Favorable"
"643",75,"Lightly Favorable"
"644",31,"Unfavorable"
"645",70,"Lightly Favorable"
"646",51,"Lightly Favorable"
"647",74,"Lightly Favorable"
"648",75,"Lightly Favorable"
"649",96,"Strongly Favorable"
"650",90,"Strongly Favorable"
"651",35,"Unfavorable"
"652",100,"Strongly Favorable"
"653",84,"Strongly Favorable"
"654",94,"Strongly Favorable"
"655",76,"Strongly Favorable"
"656",67,"Lightly Favorable"
"657",96,"Strongly Favorable"
"658",86,"Strongly Favorable"
"659",77,"Strongly Favorable"
"660",75,"Lightly Favorable"
"661",43,"Unfavorable"
"662",100,"Strongly Favorable"
"663",90,"Strongly Favorable"
"664",58,"Lightly Favorable"
"665",95,"Strongly Favorable"
"666",82,"Strongly Favorable"
"667",100,"Strongly Favorable"
"668",63,"Lightly Favorable"
"669",50,"Unfavorable"
"670",50,"Unfavorable"
"671",82,"Strongly Favorable"
"672",100,"Strongly Favorable"
"673",86,"Strongly Favorable"
"674",100,"Strongly Favorable"
"675",59,"Lightly Favorable"
"676",98,"Strongly Favorable"
"677",100,"Strongly Favorable"
"678",19,"Strongly unfavorable"
"679",76,"Strongly Favorable"
"680",50,"Unfavorable"
"681",55,"Lightly Favorable"
"682",100,"Strongly Favorable"
"683",98,"Strongly Favorable"
"684",80,"Strongly Favorable"
"685",69,"Lightly Favorable"
"686",98,"Strongly Favorable"
"687",69,"Lightly Favorable"
"688",60,"Lightly Favorable"
"689",98,"Strongly Favorable"
"690",78,"Strongly Favorable"
"691",6,"Strongly unfavorable"
"692",50,"Unfavorable"
"693",38,"Unfavorable"
"694",50,"Unfavorable"
"695",50,"Unfavorable"
"696",90,"Strongly Favorable"
"697",80,"Strongly Favorable"
